name,founded_at,first_funding_at,last_funding_at
Open Listings,5/1/14 12:00 AM,10/27/15 12:00 AM,10/27/15 12:00 AM
Chime,5/1/14 12:00 AM,10/13/15 12:00 AM,10/13/15 12:00 AM
Trove,5/1/14 12:00 AM,10/8/15 12:00 AM,10/8/15 12:00 AM
Industry,5/1/14 12:00 AM,9/21/15 12:00 AM,9/21/15 12:00 AM
Nordic Revolve,5/1/14 12:00 AM,9/21/15 12:00 AM,9/21/15 12:00 AM
Vyance,5/1/14 12:00 AM,7/30/15 12:00 AM,7/30/15 12:00 AM
Shortlist,5/1/14 12:00 AM,7/13/15 12:00 AM,7/13/15 12:00 AM
DateBox,5/1/14 12:00 AM,7/6/15 12:00 AM,7/6/15 12:00 AM
"Dropoff, Inc.",5/1/14 12:00 AM,6/22/15 12:00 AM,6/22/15 12:00 AM
Lessons.com,5/1/14 12:00 AM,6/20/15 12:00 AM,6/20/15 12:00 AM
Digiscend,5/1/14 12:00 AM,6/8/15 12:00 AM,6/8/15 12:00 AM
Macromeasures,5/1/14 12:00 AM,6/8/15 12:00 AM,6/8/15 12:00 AM
Glassbreakers,5/1/14 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
Pledgeling,5/1/14 12:00 AM,4/17/15 12:00 AM,4/17/15 12:00 AM
Nestegg Biotech,5/1/14 12:00 AM,3/31/15 12:00 AM,3/31/15 12:00 AM
Vrideo,5/1/14 12:00 AM,3/25/15 12:00 AM,3/25/15 12:00 AM
MyDiaspora,5/1/14 12:00 AM,3/23/15 12:00 AM,4/1/15 12:00 AM
Taranis,5/1/14 12:00 AM,3/9/15 12:00 AM,3/9/15 12:00 AM
Kehoots,5/1/14 12:00 AM,2/28/15 12:00 AM,2/28/15 12:00 AM
Wishround,5/1/14 12:00 AM,1/25/15 12:00 AM,1/25/15 12:00 AM
Mintos,5/1/14 12:00 AM,1/21/15 12:00 AM,1/21/15 12:00 AM
Joberate,5/1/14 12:00 AM,1/9/15 12:00 AM,1/9/15 12:00 AM
Ublend,5/1/14 12:00 AM,1/1/15 12:00 AM,6/1/15 12:00 AM
Whistler Technologies,5/1/14 12:00 AM,1/1/15 12:00 AM,5/1/15 12:00 AM
XCo,5/1/14 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
First Wearable,5/1/14 12:00 AM,12/24/14 12:00 AM,12/24/14 12:00 AM
Trivia Duel,5/1/14 12:00 AM,12/23/14 12:00 AM,12/23/14 12:00 AM
Quikkly,5/1/14 12:00 AM,12/18/14 12:00 AM,12/18/14 12:00 AM
FluxBand,5/1/14 12:00 AM,12/15/14 12:00 AM,12/15/14 12:00 AM
Quoine,5/1/14 12:00 AM,12/10/14 12:00 AM,12/10/14 12:00 AM
All3DP GmbH,5/1/14 12:00 AM,12/2/14 12:00 AM,12/2/14 12:00 AM
Genetic Internet,5/1/14 12:00 AM,12/1/14 12:00 AM,12/1/14 12:00 AM
InvestX Capital,5/1/14 12:00 AM,12/1/14 12:00 AM,12/1/14 12:00 AM
Praesidio Inc.,5/1/14 12:00 AM,12/1/14 12:00 AM,9/17/15 12:00 AM
SlideMail,5/1/14 12:00 AM,12/1/14 12:00 AM,12/1/14 12:00 AM
Bundle,5/1/14 12:00 AM,11/26/14 12:00 AM,5/25/15 12:00 AM
SelfieJobs,5/1/14 12:00 AM,11/25/14 12:00 AM,11/25/14 12:00 AM
Digitzs,5/1/14 12:00 AM,11/22/14 12:00 AM,11/22/14 12:00 AM
Smart Relief,5/1/14 12:00 AM,11/9/14 12:00 AM,11/9/14 12:00 AM
BLOCKpeek,5/1/14 12:00 AM,10/31/14 12:00 AM,10/31/14 12:00 AM
uCastMe Agency,5/1/14 12:00 AM,10/10/14 12:00 AM,10/10/14 12:00 AM
Stellar Loyalty,5/1/14 12:00 AM,10/8/14 12:00 AM,10/8/14 12:00 AM
SuperMighty,5/1/14 12:00 AM,10/7/14 12:00 AM,10/7/14 12:00 AM
Coinify,5/1/14 12:00 AM,10/1/14 12:00 AM,8/12/15 12:00 AM
fullcube,5/1/14 12:00 AM,10/1/14 12:00 AM,3/6/15 12:00 AM
Kahoots,5/1/14 12:00 AM,10/1/14 12:00 AM,5/1/15 12:00 AM
Slipper,5/1/14 12:00 AM,9/29/14 12:00 AM,9/29/14 12:00 AM
Prospr,5/1/14 12:00 AM,9/15/14 12:00 AM,9/15/14 12:00 AM
Perdoo,5/1/14 12:00 AM,9/8/14 12:00 AM,9/8/14 12:00 AM
Eurosender,5/1/14 12:00 AM,9/1/14 12:00 AM,9/23/15 12:00 AM
PasajeBus,5/1/14 12:00 AM,9/1/14 12:00 AM,12/27/14 12:00 AM
Portadi,5/1/14 12:00 AM,9/1/14 12:00 AM,9/1/14 12:00 AM
VINO75,5/1/14 12:00 AM,9/1/14 12:00 AM,6/1/15 12:00 AM
Intraxio,5/1/14 12:00 AM,8/21/14 12:00 AM,8/21/14 12:00 AM
Language Learning Class,5/1/14 12:00 AM,8/12/14 12:00 AM,8/12/14 12:00 AM
AskU,5/1/14 12:00 AM,8/1/14 12:00 AM,8/1/14 12:00 AM
SecureBeam,5/1/14 12:00 AM,8/1/14 12:00 AM,8/1/14 12:00 AM
Shake,5/1/14 12:00 AM,7/31/14 12:00 AM,7/31/14 12:00 AM
Abaris,5/1/14 12:00 AM,7/24/14 12:00 AM,10/20/15 12:00 AM
"Mercury Touch, Ltd.",5/1/14 12:00 AM,7/17/14 12:00 AM,9/8/14 12:00 AM
Copier How To,5/1/14 12:00 AM,7/15/14 12:00 AM,7/15/14 12:00 AM
Ridley,5/1/14 12:00 AM,7/15/14 12:00 AM,7/15/14 12:00 AM
Button,5/1/14 12:00 AM,7/10/14 12:00 AM,1/22/15 12:00 AM
Swift Frontiers Corp,5/1/14 12:00 AM,7/3/14 12:00 AM,7/3/14 12:00 AM
InMoji,5/1/14 12:00 AM,7/1/14 12:00 AM,5/7/15 12:00 AM
Ocean Executive,5/1/14 12:00 AM,7/1/14 12:00 AM,7/1/14 12:00 AM
Simility,5/1/14 12:00 AM,7/1/14 12:00 AM,10/23/15 12:00 AM
Tradono,5/1/14 12:00 AM,7/1/14 12:00 AM,6/15/15 12:00 AM
MLD Solutions,5/1/14 12:00 AM,6/30/14 12:00 AM,6/30/14 12:00 AM
Newshubby,5/1/14 12:00 AM,6/25/14 12:00 AM,6/25/14 12:00 AM
Songtradr,5/1/14 12:00 AM,6/16/14 12:00 AM,6/16/14 12:00 AM
Snapd App,5/1/14 12:00 AM,6/10/14 12:00 AM,6/10/14 12:00 AM
Opp.io,5/1/14 12:00 AM,6/9/14 12:00 AM,6/5/15 12:00 AM
Mentimeter,5/1/14 12:00 AM,6/7/14 12:00 AM,6/7/14 12:00 AM
Adolade,5/1/14 12:00 AM,6/1/14 12:00 AM,6/1/14 12:00 AM
Semant.io,5/1/14 12:00 AM,6/1/14 12:00 AM,6/1/14 12:00 AM
ZhiGuoGuo,5/1/14 12:00 AM,6/1/14 12:00 AM,4/21/15 12:00 AM
Eve Tab,5/1/14 12:00 AM,5/31/14 12:00 AM,12/1/14 12:00 AM
Hyasynth Bio,5/1/14 12:00 AM,5/20/14 12:00 AM,6/29/15 12:00 AM
Modern Armory,5/1/14 12:00 AM,5/20/14 12:00 AM,5/20/14 12:00 AM
Athletes Recovery Club,5/1/14 12:00 AM,5/15/14 12:00 AM,5/15/14 12:00 AM
Lufthouse,5/1/14 12:00 AM,5/15/14 12:00 AM,5/15/14 12:00 AM
Local Geek PC Repair,5/1/14 12:00 AM,5/10/14 12:00 AM,5/10/14 12:00 AM
AMIA Systems,5/1/14 12:00 AM,5/5/14 12:00 AM,6/1/14 12:00 AM
Muufri,5/1/14 12:00 AM,5/2/14 12:00 AM,9/30/14 12:00 AM
Axis Stars Limited,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Boldomatic SA,5/1/14 12:00 AM,5/1/14 12:00 AM,2/19/15 12:00 AM
Boomalang,5/1/14 12:00 AM,5/1/14 12:00 AM,2/10/15 12:00 AM
Elevaate,5/1/14 12:00 AM,5/1/14 12:00 AM,8/6/15 12:00 AM
GamyTech,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
"Hudooku, Inc.",5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Kratos Technology,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/15 12:00 AM
Loto Labs,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Mish Guru,5/1/14 12:00 AM,5/1/14 12:00 AM,6/6/15 12:00 AM
Omnirocket,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Opnia,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Pager,5/1/14 12:00 AM,5/1/14 12:00 AM,7/13/15 12:00 AM
"Phase 5 Group, LLC",5/1/14 12:00 AM,5/1/14 12:00 AM,9/28/15 12:00 AM
Playful Data,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Tessin,5/1/14 12:00 AM,5/1/14 12:00 AM,2/20/15 12:00 AM
TouchPo Android POS,5/1/14 12:00 AM,5/1/14 12:00 AM,4/1/15 12:00 AM
Tripda,5/1/14 12:00 AM,5/1/14 12:00 AM,1/29/15 12:00 AM
VAPI,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
wrnch,5/1/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
"Waggl, Inc.",5/1/14 12:00 AM,4/30/14 12:00 AM,4/30/14 12:00 AM
Graph Story,5/1/14 12:00 AM,4/5/14 12:00 AM,8/4/14 12:00 AM
Pickle,5/1/14 12:00 AM,4/5/14 12:00 AM,2/20/15 12:00 AM
Well Done,5/1/14 12:00 AM,4/5/14 12:00 AM,4/5/14 12:00 AM
RED - Recycled Electronics Distributors,5/1/14 12:00 AM,4/1/14 12:00 AM,4/1/14 12:00 AM
WhiteLynx Pte Ltd,5/1/14 12:00 AM,3/7/14 12:00 AM,3/7/14 12:00 AM
nestpick,5/1/14 12:00 AM,2/19/14 12:00 AM,11/2/15 12:00 AM
Neuroware.io,5/1/14 12:00 AM,1/30/14 12:00 AM,1/30/14 12:00 AM
Vets USA,5/1/14 12:00 AM,1/16/14 12:00 AM,1/16/14 12:00 AM
Blinked,5/1/14 12:00 AM,1/1/14 12:00 AM,1/1/14 12:00 AM
Trepup,5/1/14 12:00 AM,1/1/14 12:00 AM,1/1/14 12:00 AM
Global Acquisition Partners,5/1/14 12:00 AM,10/25/13 12:00 AM,10/25/13 12:00 AM
Meal Box,5/1/14 12:00 AM,9/11/13 12:00 AM,8/4/15 12:00 AM
L'Idealist,5/1/14 12:00 AM,7/1/13 12:00 AM,7/1/13 12:00 AM
Vizir,5/1/14 12:00 AM,3/1/13 12:00 AM,3/1/13 12:00 AM
KOWN,5/1/14 12:00 AM,9/14/11 12:00 AM,2/10/15 12:00 AM
Rallyon,5/1/14 12:00 AM,6/17/11 12:00 AM,5/1/14 12:00 AM
Storeness,4/30/14 12:00 AM,8/3/15 12:00 AM,8/3/15 12:00 AM
combyne,4/30/14 12:00 AM,1/9/15 12:00 AM,1/9/15 12:00 AM
Karma Platform,4/30/14 12:00 AM,9/2/14 12:00 AM,9/2/14 12:00 AM
EthicalBox,4/30/14 12:00 AM,9/1/14 12:00 AM,9/1/14 12:00 AM
CreoPop,4/30/14 12:00 AM,6/17/14 12:00 AM,11/18/15 12:00 AM
Known,4/30/14 12:00 AM,5/15/14 12:00 AM,5/15/14 12:00 AM
Paper Hunter,4/30/14 12:00 AM,5/2/14 12:00 AM,5/2/14 12:00 AM
Very Venice Art,4/30/14 12:00 AM,4/28/14 12:00 AM,4/28/14 12:00 AM
Hunt Country Hops,4/30/14 12:00 AM,4/27/14 12:00 AM,4/27/14 12:00 AM
Ouistock,4/29/14 12:00 AM,6/15/15 12:00 AM,6/15/15 12:00 AM
Reel Feed,4/29/14 12:00 AM,5/1/14 12:00 AM,11/11/14 12:00 AM
Kotch International Transportation Design Specialists,4/29/14 12:00 AM,4/25/14 12:00 AM,4/25/14 12:00 AM
Volt,4/29/14 12:00 AM,3/1/14 12:00 AM,3/1/15 12:00 AM
Blendle,4/28/14 12:00 AM,10/26/14 12:00 AM,10/26/14 12:00 AM
Opticorps,4/28/14 12:00 AM,10/16/14 12:00 AM,10/16/14 12:00 AM
Mallinda LLC,4/28/14 12:00 AM,6/1/14 12:00 AM,7/1/15 12:00 AM
Simplex,4/28/14 12:00 AM,5/28/14 12:00 AM,3/1/15 12:00 AM
"Infocyte, Inc.",4/28/14 12:00 AM,5/10/14 12:00 AM,11/13/14 12:00 AM
Zdorovio,4/28/14 12:00 AM,5/1/14 12:00 AM,2/2/15 12:00 AM
BestBoy Keyboard,4/28/14 12:00 AM,4/28/14 12:00 AM,4/28/14 12:00 AM
BounceChat App,4/27/14 12:00 AM,10/1/14 12:00 AM,11/21/15 12:00 AM
Appknox,4/27/14 12:00 AM,5/1/14 12:00 AM,12/2/14 12:00 AM
Hedgy,4/26/14 12:00 AM,4/30/15 12:00 AM,4/30/15 12:00 AM
Mencanta,4/26/14 12:00 AM,4/28/14 12:00 AM,1/1/15 12:00 AM
My Dream Store,4/25/14 12:00 AM,1/14/15 12:00 AM,1/14/15 12:00 AM
Madronish Therapeutics,4/25/14 12:00 AM,9/16/14 12:00 AM,9/16/14 12:00 AM
Tabulate,4/25/14 12:00 AM,9/9/14 12:00 AM,7/15/15 12:00 AM
AirSig Inc.,4/25/14 12:00 AM,9/2/14 12:00 AM,9/2/14 12:00 AM
Enchantment Holding Company,4/25/14 12:00 AM,8/28/14 12:00 AM,8/28/14 12:00 AM
The R&M Construction Group of South Florida,4/25/14 12:00 AM,7/23/14 12:00 AM,7/23/14 12:00 AM
Sharematic,4/25/14 12:00 AM,5/28/14 12:00 AM,5/28/14 12:00 AM
Proskriptive,4/24/14 12:00 AM,12/31/14 12:00 AM,10/30/15 12:00 AM
Aidhenscorner,4/24/14 12:00 AM,8/22/14 12:00 AM,8/22/14 12:00 AM
Slantpoint Media Group LLC,4/24/14 12:00 AM,6/30/14 12:00 AM,6/30/14 12:00 AM
Content360,4/24/14 12:00 AM,5/1/14 12:00 AM,6/1/15 12:00 AM
Conduco,4/23/14 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
Vee,4/23/14 12:00 AM,11/6/14 12:00 AM,11/6/14 12:00 AM
Taiga.io,4/23/14 12:00 AM,10/1/14 12:00 AM,10/1/14 12:00 AM
Podify,4/23/14 12:00 AM,9/12/14 12:00 AM,10/1/14 12:00 AM
MobileReady,4/23/14 12:00 AM,9/9/14 12:00 AM,9/9/14 12:00 AM
"Arreo, Inc.",4/23/14 12:00 AM,1/1/14 12:00 AM,1/1/14 12:00 AM
HelpSocial,4/23/14 12:00 AM,1/1/14 12:00 AM,1/1/14 12:00 AM
Chariot,4/22/14 12:00 AM,4/22/15 12:00 AM,4/22/15 12:00 AM
Letibee,4/22/14 12:00 AM,12/24/14 12:00 AM,8/31/15 12:00 AM
Modelo,4/22/14 12:00 AM,11/1/14 12:00 AM,1/15/15 12:00 AM
Pine,4/22/14 12:00 AM,8/20/14 12:00 AM,8/20/14 12:00 AM
Stowaway Cosmetics,4/22/14 12:00 AM,8/1/14 12:00 AM,8/1/14 12:00 AM
Etreasurebox,4/22/14 12:00 AM,7/8/14 12:00 AM,7/8/14 12:00 AM
alugha GmbH,4/22/14 12:00 AM,4/22/14 12:00 AM,4/22/14 12:00 AM
BidFlyer,4/21/14 12:00 AM,9/21/15 12:00 AM,9/21/15 12:00 AM
HomeBay,4/21/14 12:00 AM,8/1/14 12:00 AM,8/1/14 12:00 AM
PingThings,4/21/14 12:00 AM,4/21/14 12:00 AM,4/23/15 12:00 AM
Sudox Paints,4/21/14 12:00 AM,4/21/14 12:00 AM,4/21/14 12:00 AM
Octopusocial,4/21/14 12:00 AM,10/18/13 12:00 AM,10/18/13 12:00 AM
Blitzen,4/20/14 12:00 AM,5/20/15 12:00 AM,5/20/15 12:00 AM
CouponRoller,4/20/14 12:00 AM,2/24/15 12:00 AM,2/24/15 12:00 AM
Run An Empire,4/20/14 12:00 AM,12/16/14 12:00 AM,12/16/14 12:00 AM
BevyJobs.com & BevyTalent.com,4/20/14 12:00 AM,12/1/14 12:00 AM,7/27/15 12:00 AM
COPRIX media BG,4/20/14 12:00 AM,10/1/14 12:00 AM,10/1/14 12:00 AM
Parle Innovation,4/20/14 12:00 AM,5/1/13 12:00 AM,5/1/13 12:00 AM
Astro,4/20/14 12:00 AM,3/14/13 12:00 AM,4/7/15 12:00 AM
The18,4/18/14 12:00 AM,10/21/15 12:00 AM,10/21/15 12:00 AM
Cocoon,4/17/14 12:00 AM,11/6/14 12:00 AM,11/6/14 12:00 AM
Pragmatik IO Solutions,4/17/14 12:00 AM,7/21/14 12:00 AM,7/21/14 12:00 AM
Bluemate Associates,4/17/14 12:00 AM,6/11/14 12:00 AM,6/11/14 12:00 AM
ADIKTIVO,4/17/14 12:00 AM,6/1/14 12:00 AM,6/1/14 12:00 AM
Del Sol Espana,4/17/14 12:00 AM,4/17/14 12:00 AM,4/17/14 12:00 AM
Evidence Prime,4/17/14 12:00 AM,4/17/14 12:00 AM,4/17/14 12:00 AM
Coinalytics Co.,4/17/14 12:00 AM,4/15/14 12:00 AM,9/10/15 12:00 AM
Kxter.com,4/16/14 12:00 AM,12/31/14 12:00 AM,4/24/15 12:00 AM
Ofi.com.co,4/16/14 12:00 AM,8/15/14 12:00 AM,8/15/14 12:00 AM
Adormo,4/16/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
PPost - The Uber for Couriers,4/16/14 12:00 AM,4/2/14 12:00 AM,4/2/14 12:00 AM
Genially,4/15/14 12:00 AM,11/25/15 12:00 AM,11/25/15 12:00 AM
Coin.co,4/15/14 12:00 AM,7/16/15 12:00 AM,7/16/15 12:00 AM
Hibot,4/15/14 12:00 AM,11/10/14 12:00 AM,11/10/14 12:00 AM
Rekovo,4/15/14 12:00 AM,10/10/14 12:00 AM,10/10/14 12:00 AM
Cord Project,4/15/14 12:00 AM,9/4/14 12:00 AM,9/4/14 12:00 AM
My Mega Bookstore,4/15/14 12:00 AM,6/18/14 12:00 AM,6/18/14 12:00 AM
"TruBeacon, Inc.",4/15/14 12:00 AM,6/13/14 12:00 AM,6/13/14 12:00 AM
Branch Metrics,4/15/14 12:00 AM,6/1/14 12:00 AM,2/26/15 12:00 AM
Partly,4/15/14 12:00 AM,4/15/14 12:00 AM,4/15/14 12:00 AM
HardPoint Protective Group,4/15/14 12:00 AM,3/22/14 12:00 AM,3/22/14 12:00 AM
Mapian,4/15/14 12:00 AM,3/5/14 12:00 AM,3/10/15 12:00 AM
Etology.com,4/15/14 12:00 AM,11/14/06 12:00 AM,11/14/06 12:00 AM
United Qavik Group,4/14/14 12:00 AM,8/24/14 12:00 AM,8/24/14 12:00 AM
Brigade,4/14/14 12:00 AM,8/6/14 12:00 AM,8/6/14 12:00 AM
Artistoon,4/14/14 12:00 AM,6/1/14 12:00 AM,6/1/14 12:00 AM
x.ai,4/14/14 12:00 AM,5/21/14 12:00 AM,1/5/15 12:00 AM
Need Fixed Parts,4/14/14 12:00 AM,5/5/14 12:00 AM,9/15/15 12:00 AM
Solvesting,4/14/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Stimply,4/14/14 12:00 AM,4/15/14 12:00 AM,4/15/14 12:00 AM
Linkfire,4/14/14 12:00 AM,4/1/14 12:00 AM,9/16/15 12:00 AM
True Style,4/14/14 12:00 AM,2/20/14 12:00 AM,2/20/14 12:00 AM
Sociable Labs,4/14/14 12:00 AM,12/31/09 12:00 AM,10/26/11 12:00 AM
Ydigital Asia,4/13/14 12:00 AM,8/1/14 12:00 AM,8/1/14 12:00 AM
ColoraderdamÂ®,4/13/14 12:00 AM,4/19/14 12:00 AM,4/19/14 12:00 AM
Vedantu,4/13/14 12:00 AM,7/15/13 12:00 AM,5/7/15 12:00 AM
KeyStone Compact Group Ltd,4/12/14 12:00 AM,7/5/15 12:00 AM,7/5/15 12:00 AM
Government Contract Professionals,4/12/14 12:00 AM,6/17/14 12:00 AM,6/17/14 12:00 AM
Elobina Concept AB,4/11/14 12:00 AM,9/20/15 12:00 AM,9/20/15 12:00 AM
ehumanlife,4/11/14 12:00 AM,7/15/15 12:00 AM,7/15/15 12:00 AM
Thirty Labs,4/11/14 12:00 AM,9/24/14 12:00 AM,2/10/15 12:00 AM
Nannuka,4/11/14 12:00 AM,6/10/14 12:00 AM,3/10/15 12:00 AM
Vencosba Ventura County Small Business Advisors,4/11/14 12:00 AM,4/11/14 12:00 AM,4/11/14 12:00 AM
Xceed,4/10/14 12:00 AM,7/1/15 12:00 AM,7/1/15 12:00 AM
ORIG3N,4/10/14 12:00 AM,2/5/15 12:00 AM,2/5/15 12:00 AM
"Zipline Labs, Inc.",4/10/14 12:00 AM,1/1/15 12:00 AM,1/1/15 12:00 AM
Cirrus Lender Services,4/10/14 12:00 AM,8/12/14 12:00 AM,8/12/14 12:00 AM
Sol Mar REI,4/10/14 12:00 AM,8/5/14 12:00 AM,8/5/14 12:00 AM
Profound Studio,4/10/14 12:00 AM,7/20/14 12:00 AM,7/20/14 12:00 AM
NVdrones,4/10/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
Nextwin Srl,4/10/14 12:00 AM,4/19/14 12:00 AM,1/24/15 12:00 AM
ThisData,4/10/14 12:00 AM,4/13/14 12:00 AM,4/16/15 12:00 AM
DuXplore,4/10/14 12:00 AM,4/10/14 12:00 AM,4/10/14 12:00 AM
Voodle - Memories in Motion,4/10/14 12:00 AM,4/10/14 12:00 AM,7/10/14 12:00 AM
ReEmbed,4/10/14 12:00 AM,11/21/13 12:00 AM,11/21/13 12:00 AM
BRIGHT,4/9/14 12:00 AM,2/25/15 12:00 AM,8/4/15 12:00 AM
Rising Sun Assisted Living,4/9/14 12:00 AM,9/2/14 12:00 AM,9/2/14 12:00 AM
MZL Shine Cleaning,4/9/14 12:00 AM,5/29/14 12:00 AM,5/29/14 12:00 AM
Big Data Perspective,4/9/14 12:00 AM,4/2/14 12:00 AM,4/2/14 12:00 AM
Nebulab,4/9/14 12:00 AM,4/1/14 12:00 AM,10/1/15 12:00 AM
Scottsdale Gold and Silver,4/8/14 12:00 AM,2/25/15 12:00 AM,2/25/15 12:00 AM
"Metrix Health, Inc.",4/8/14 12:00 AM,8/8/14 12:00 AM,8/10/14 12:00 AM
Durise,4/8/14 12:00 AM,6/10/14 12:00 AM,6/10/14 12:00 AM
Sierra Lifestyle,4/7/14 12:00 AM,1/27/15 12:00 AM,1/27/15 12:00 AM
Prepair,4/7/14 12:00 AM,8/29/14 12:00 AM,8/29/14 12:00 AM
eStartAcademy.com,4/7/14 12:00 AM,8/12/14 12:00 AM,8/12/14 12:00 AM
Cuckoo Workout,4/7/14 12:00 AM,5/15/14 12:00 AM,2/9/15 12:00 AM
iPG Maxx Entertainment India (P) Ltd,4/7/14 12:00 AM,5/15/14 12:00 AM,5/15/14 12:00 AM
Mapp,4/7/14 12:00 AM,4/7/14 12:00 AM,4/7/14 12:00 AM
sciencebite,4/7/14 12:00 AM,4/7/14 12:00 AM,4/7/14 12:00 AM
J&V Big Game Outfitters,4/7/14 12:00 AM,2/7/14 12:00 AM,2/7/14 12:00 AM
BEST Athlete Management,4/5/14 12:00 AM,5/21/14 12:00 AM,5/21/14 12:00 AM
Musations,4/5/14 12:00 AM,5/19/14 12:00 AM,12/15/14 12:00 AM
Anuway Corporation,4/5/14 12:00 AM,4/5/14 12:00 AM,4/5/14 12:00 AM
Smync,4/4/14 12:00 AM,10/23/15 12:00 AM,10/23/15 12:00 AM
Securosys SA,4/4/14 12:00 AM,5/26/15 12:00 AM,5/26/15 12:00 AM
MPIRICA Health Analytics,4/4/14 12:00 AM,4/22/15 12:00 AM,11/10/15 12:00 AM
WeFitter,4/4/14 12:00 AM,3/1/15 12:00 AM,3/1/15 12:00 AM
AutoDeal.com.ph,4/4/14 12:00 AM,6/1/14 12:00 AM,6/1/14 12:00 AM
Phantom LogIn,4/4/14 12:00 AM,6/1/14 12:00 AM,8/1/15 12:00 AM
Vestor,4/4/14 12:00 AM,5/1/14 12:00 AM,5/1/14 12:00 AM
MediaLink,4/4/14 12:00 AM,4/3/14 12:00 AM,4/3/14 12:00 AM
Statzup,4/4/14 12:00 AM,4/1/14 12:00 AM,9/10/15 12:00 AM
FitWell,4/4/14 12:00 AM,3/3/14 12:00 AM,4/2/15 12:00 AM
Compare The Man And Van,4/4/14 12:00 AM,2/1/14 12:00 AM,2/1/14 12:00 AM
Humanity,4/3/14 12:00 AM,2/9/15 12:00 AM,2/9/15 12:00 AM
GetYourHero,4/3/14 12:00 AM,10/1/14 12:00 AM,7/29/15 12:00 AM
Orate,4/3/14 12:00 AM,8/25/14 12:00 AM,8/25/14 12:00 AM
Addapp,4/3/14 12:00 AM,4/4/14 12:00 AM,4/4/14 12:00 AM
Sustain360 (this company is no longer active),4/3/14 12:00 AM,4/3/14 12:00 AM,4/3/14 12:00 AM
CardioLogs,4/3/14 12:00 AM,3/3/14 12:00 AM,7/9/14 12:00 AM
Sound Clips,4/3/14 12:00 AM,10/17/13 12:00 AM,10/17/13 12:00 AM
America's Real Deal,4/3/14 12:00 AM,8/19/11 12:00 AM,8/19/11 12:00 AM
American Gnuity,4/3/14 12:00 AM,8/19/11 12:00 AM,8/19/11 12:00 AM
LeadSecure,4/2/14 12:00 AM,12/1/14 12:00 AM,12/1/14 12:00 AM
StrataCloud,4/2/14 12:00 AM,8/14/14 12:00 AM,4/22/15 12:00 AM
Medicine in Practice,4/2/14 12:00 AM,6/27/14 12:00 AM,6/27/14 12:00 AM
Sustainable Energy & Agriculture Technology,4/2/14 12:00 AM,4/15/14 12:00 AM,4/15/14 12:00 AM
Return Logic,4/2/14 12:00 AM,4/1/14 12:00 AM,4/1/14 12:00 AM
Buzzstarter Inc,4/2/14 12:00 AM,3/1/14 12:00 AM,3/1/14 12:00 AM
Mom Junction,4/2/14 12:00 AM,1/5/07 12:00 AM,1/5/07 12:00 AM
JUCEBOX Limited,4/1/14 12:00 AM,10/1/15 12:00 AM,10/1/15 12:00 AM
Sun Basket,4/1/14 12:00 AM,9/17/15 12:00 AM,9/17/15 12:00 AM
MyNeighbor,4/1/14 12:00 AM,9/10/15 12:00 AM,9/10/15 12:00 AM
Bindle,4/1/14 12:00 AM,9/7/15 12:00 AM,9/7/15 12:00 AM
Buscaparking,4/1/14 12:00 AM,8/7/15 12:00 AM,8/7/15 12:00 AM
Pocket Points,4/1/14 12:00 AM,7/30/15 12:00 AM,9/10/15 12:00 AM
Zeplin,4/1/14 12:00 AM,7/20/15 12:00 AM,11/24/15 12:00 AM
Backboard,4/1/14 12:00 AM,7/15/15 12:00 AM,7/15/15 12:00 AM
Zimmber,4/1/14 12:00 AM,6/29/15 12:00 AM,7/29/15 12:00 AM
TripVerse,4/1/14 12:00 AM,6/26/15 12:00 AM,6/26/15 12:00 AM
Myndbee Inc.,4/1/14 12:00 AM,6/12/15 12:00 AM,6/12/15 12:00 AM
Brilliency,4/1/14 12:00 AM,5/26/15 12:00 AM,5/26/15 12:00 AM
Wovo,4/1/14 12:00 AM,5/5/15 12:00 AM,5/5/15 12:00 AM
Machine & Voice Communication GmbH,4/1/14 12:00 AM,5/4/15 12:00 AM,5/4/15 12:00 AM
Sublime-Mail,4/1/14 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
Yonderbound,4/1/14 12:00 AM,5/1/15 12:00 AM,5/1/15 12:00 AM
